nom,nom2,adresse,retty,url,fb,mail
"グランドビュー",,"京都府","https://retty.me/area/PRE26/ARE112/SUB11201/100001230158/",,,,
"ビストロ　ウスケ",,"兵庫県","https://retty.me/area/PRE28/ARE105/SUB10501/100001000306/",,"https://www.facebook.com/BistroUsuke20120727?fref=photo",,
"祇園びとら、",,"京都府","https://retty.me/area/PRE26/ARE112/SUB11201/100001305627/","http://www.vitra.jp/","https://www.facebook.com/gionvitra/",,
"創作料理ブリスタ",,"東京都","https://retty.me/area/PRE13/ARE7/SUB702/100001298437/","http://blista.sunnyday.jp/","https://www.facebook.com/blista2016/",,
"戸倉上山田温泉 湯元 上山田ホテル",,"長野県","https://retty.me/area/PRE20/ARE82/SUB55707/100001314165/","http://www.kamiyamada.com/",,,
"ルカワヤ",,"東京都","https://retty.me/area/PRE13/ARE24/SUB2404/100000063313/","http://www.furukawaya.jp/",,,
"ビストロ・プラン・デ・プ",,"栃木県","https://retty.me/area/PRE09/ARE539/SUB53904/100000394934/",,,,
"Kabi",,"東京都","https://retty.me/area/PRE13/ARE13/SUB704/100001389726/",,"https://www.facebook.com/restaurantKabi/",,
"アスティチェ",,"東京都","https://retty.me/area/PRE13/ARE7/SUB701/100001390136/",,,,
"kimura",,"秋田県","https://retty.me/area/PRE05/ARE160/SUB16001/100001452269/",,"https://www.facebook.com/Kimura-1732869440146638/?ref=page_internal",,
"ガーデンテラス長崎 ホテル&リゾート",,"長崎県","https://retty.me/area/PRE42/ARE139/SUB13901/100001317579/",,,,
"イレールビス 自由が丘",,"東京都","https://retty.me/area/PRE13/ARE665/SUB2001/100001541450/","https://www.instagram.com/irreelbis_jiyugaoka/","https://www.facebook.com/irreelbisjiyugaoka/",,
"ハッケイ レスト",,"兵庫県","https://retty.me/area/PRE28/ARE98/SUB9801/100001544933/","https://hakkei.jp/#home",,,
"千里阪急ホテル",,"大阪府","https://retty.me/area/PRE27/ARE84/SUB8402/100001383974/",,,,
"如月",,"福岡県","https://retty.me/area/PRE40/ARE122/SUB64003/100001525097/","https://fbmc000.gorp.jp/",,,
"立川 寿司 空",,"東京都","https://retty.me/area/PRE13/ARE3/SUB301/100001553301/","https://tabelog.com/tokyo/A1329/A132901/13250241/",,,
"創作フレンチ鉄板Hanasaki",,"東京都","https://retty.me/area/PRE13/ARE2/SUB1601/100001458340/",,,,
"季音",,"神奈川県","https://retty.me/area/PRE14/ARE34/SUB3401/100001523041/","http://kinon-kamakura.com/",,,
"クーポール会館",,"静岡県","https://retty.me/area/PRE22/ARE78/SUB7801/100001320653/",,,,
"ブリティッシュハウス 輪舞曲",,"栃木県","https://retty.me/area/PRE09/ARE542/SUB26903/100001345495/","http://www.h-rondo.com/",,,
"足利公園　蓮岱館",,"栃木県","https://retty.me/area/PRE09/ARE238/SUB23803/100000387643/","http://www.rendaikan.net/enkai.php",,,
"ワイン バー オネスト",,"東京都","https://retty.me/area/PRE13/ARE6/SUB603/100001556591/",,,,
"ブノワ",,"東京都","https://retty.me/area/PRE13/ARE23/SUB2302/100000000649/","http://www.benoit-tokyo.com/",,,
